dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
44993,Dog_Detail?DogID=44993,GWEEBARRA'S INCREDIBLE ILLUSION,Dog_Detail?DogID=44993,DRAGO,WS19970405,"Dec 22, 2006",,,,,,,,,,,,,,,
44992,Dog_Detail?DogID=44992,GWEEBARRA'S INCREDIBLE SNUFFLEUPAGUS,Dog_Detail?DogID=44992,SNUFFY,WS19970404,"Dec 22, 2006",,,,,,,,,,,,,,,
44746,Dog_Detail?DogID=44746,GWEEBARRA'S INTELLIGENT DESIGN,Dog_Detail?DogID=44746,APPLE,WS19970401 (AKC),"Dec 22, 2006","Oct 20, 2015",V482317 (AKC),,,,,,,,,,,,,
50842,Dog_Detail?DogID=50842,GWEEBARRA'S JUICY FRUIT,Dog_Detail?DogID=50842,JILL,WS23011602 (AKC),"Jul 24, 2007",,V494524 (AKC),,,,,,,,,,,,,
50841,Dog_Detail?DogID=50841,GWEEBARRA'S JUST A GIGOLO,Dog_Detail?DogID=50841,JACK,WS23011601 (AKC),"Jul 24, 2007","Jun 27, 2017",V499559 (AKC),,,,,,,,,,,,,
57822,Dog_Detail?DogID=57822,GWEEBARRA'S KANDER VALLEY,Dog_Detail?DogID=57822,TANK,WS25715806,"Feb 25, 2008",,,,,,,,,,,,,,,
57828,Dog_Detail?DogID=57828,GWEEBARRA'S KING'S RANSOM,Dog_Detail?DogID=57828,BOO,WS25715803,"Feb 25, 2008",,,,,,,,,,,,,,,
57824,Dog_Detail?DogID=57824,GWEEBARRA'S KOHL BARRON JOHN,Dog_Detail?DogID=57824,BARRON,WS25715808 (AKC),"Feb 25, 2008",,,,,,,,,,,,,,,
61896,Dog_Detail?DogID=61896,GWEEBARRA'S LAUGHING OUT LOUD,Dog_Detail?DogID=61896,LUCY,WS27466003 (AKC),"Sep 10, 2008",,V550322 (AKC),,,,,,,,,,,,,
62275,Dog_Detail?DogID=62275,GWEEBARRA'S LINUS SANCHO,Dog_Detail?DogID=62275,LINUS,WS27466002 (AKC),"Sep 10, 2008",,,,,,,,,,,,,,,
74663,Dog_Detail?DogID=74663,GWEEBARRA'S MANHATTAN BELLE,Dog_Detail?DogID=74663,LULU,WS34799603 (AKC),"Jul 14, 2010",,,,,,,,,,,,,,,
74661,Dog_Detail?DogID=74661,GWEEBARRA'S MAUI WAUI,Dog_Detail?DogID=74661,EENIE,WS34799601 (AKC),"Jul 14, 2010","Feb 22, 2012",V625408 (AKC),,,,,,,,,,,,,
